OrderItemID,OrderID,ProductID,Quantity,UnitPrice,LineTotal
OI232,O109,P28,2,2862.00,5724.00
OI233,O109,P29,3,6709.00,20127.00
OI234,O110,P31,1,623.00,623.00
OI235,O110,P33,1,438.00,438.00
OI236,O111,P36,1,3952.00,3952.00
OI237,O111,P4,1,35336.00,35336.00
OI238,O111,P3,1,41366.00,41366.00
OI239,O111,P22,1,535.00,535.00
OI240,O111,P1,1,78154.00,78154.00
OI241,O112,P23,1,1399.00,1399.00
OI242,O112,P21,2,1059.00,2118.00
OI243,O112,P24,1,807.00,807.00
OI244,O113,P23,5,1399.00,6995.00
OI245,O114,P35,2,207.00,414.00
OI246,O115,P11,2,11764.00,23528.00
OI247,O115,P24,2,807.00,1614.00
OI248,O115,P21,1,1059.00,1059.00
OI249,O116,P37,1,1643.00,1643.00
OI250,O116,P39,1,972.00,972.00
OI251,O116,P38,1,5183.00,5183.00
OI252,O117,P19,1,10900.00,10900.00
OI253,O118,P37,1,1643.00,1643.00
OI254,O119,P16,1,92500.00,92500.00
OI255,O120,P16,1,92500.00,92500.00
OI256,O121,P16,1,92500.00,92500.00
