OrderID,CustomerID,SellerID,Amount,OrderDate,DeliveryDate,PaymentMethod,OrderStatusID
O80,C35,S5,1985.00,2025-10-17,2025-10-24,PayPal,STAT3
O81,C9,S7,5466.00,2025-10-25,2025-11-05,UPI,STAT3
O82,C33,S3,47514.00,2025-10-03,2025-10-10,Cash on Delivery,STAT3
O83,C11,S2,12147.00,2025-10-23,2025-10-28,Net Banking,STAT3
O84,C23,S1,159343.00,2025-10-19,2025-10-22,Cash on Delivery,STAT3
O85,C10,S7,1079.00,2025-10-29,2025-11-13,Credit Card,STAT3
O86,C45,S6,19926.00,2025-10-20,2025-10-28,Cash on Delivery,STAT3
O87,C10,S8,12009.00,2025-10-03,2025-10-08,Net Banking,STAT3
O88,C36,S1,190727.00,2025-10-05,2025-10-08,Net Banking,STAT3
O89,C7,S1,160886.00,2025-10-13,2025-10-16,Net Banking,STAT3
O90,C45,S5,3984.00,2025-11-05,2025-11-07,Net Banking,STAT3
O91,C25,S8,1643.00,2025-11-20,2025-11-25,Net Banking,STAT3
O92,C26,S6,6720.00,2025-11-08,,Net Banking,STAT2
O93,C48,S4,9893.00,2025-11-20,,Cash on Delivery,STAT2
O94,C3,S7,3812.00,2025-11-16,2025-12-04,Cash on Delivery,STAT3
O95,C60,S3,8590.00,2025-11-24,2025-11-27,PayPal,STAT3
O96,C35,S1,7904.00,2025-11-29,2025-12-05,PayPal,STAT3
O97,C60,S2,19366.00,2025-11-03,2025-11-10,Cash on Delivery,STAT3
O98,C46,S2,22724.00,2025-11-12,,Debit Card,STAT2
O99,C47,S8,1873.00,2025-11-20,,UPI,STAT2
O100,C12,S7,3812.00,2025-11-09,,UPI,STAT5
O101,C34,S7,1702.00,2025-11-02,2025-11-14,Credit Card,STAT3
O102,C35,S2,12649.00,2025-11-17,,Credit Card,STAT2
O103,C56,S6,1344.00,2025-11-17,,UPI,STAT1
O104,C57,S1,11856.00,2025-11-20,2025-11-21,Credit Card,STAT3
O105,C38,S5,25949.00,2025-11-29,,Net Banking,STAT2
O106,C24,S4,44488.00,2025-11-03,,Debit Card,STAT1
O107,C23,S5,12571.00,2025-11-09,2025-11-13,UPI,STAT3
O108,C58,S1,35336.00,2025-12-27,2026-01-03,PayPal,STAT3
O109,C35,S6,39068.00,2025-12-02,,Net Banking,STAT2
O110,C12,S7,1061.00,2025-12-02,2025-12-11,Net Banking,STAT3
O111,C14,S1,159343.00,2025-12-05,2025-12-07,UPI,STAT3
O112,C27,S5,4324.00,2025-12-10,,Net Banking,STAT1
O113,C55,S5,6995.00,2025-12-22,,Net Banking,STAT2
O114,C41,S7,414.00,2025-12-14,,Net Banking,STAT2
O115,C16,S5,26201.00,2025-12-15,,PayPal,STAT2
O116,C27,S8,7798.00,2025-12-15,2025-12-23,Cash on Delivery,STAT3
O117,C51,S4,10900.00,2025-12-08,,Credit Card,STAT2
O118,C19,S8,1643.00,2025-12-26,,Net Banking,STAT2
O119,C6,S4,92500.00,2025-12-04,,Credit Card,STAT1
O120,C7,S4,92500.00,2025-11-26,,Debit Card,STAT1
O121,C8,S4,92500.00,2025-11-30,,UPI,STAT2
